"","shortPostCode","population2019","population2020","population2021","population2022"
"144","BH10",20174.5990564196,20287.830081113,20401.696621036,20516.2022430522
"145","BH11",20021.7459482263,20134.1190766105,20247.1229052351,20360.7609739392
"146","BH12",35468.9603887438,35668.0318408402,35868.2205921922,36069.5329137022
"147","BH13",8367.70206103419,8414.66623990335,8461.89400775797,8509.38684400544
"148","BH14",23563.5133630757,23695.7648519908,23828.7586095163,23962.4988016747
"149","BH15",33237.5061316311,33424.0534264254,33611.6477279674,33800.2949126388
"150","BH16",15923.8747910679,16013.2483966915,16103.1236164941,16193.5032658125
"151","BH17",23111.9933263729,23241.7106347433,23372.1559884992,23503.3334738345
"152","BH18",11190.4564998424,11253.2635401568,11316.4230883705,11379.9371229531
"153","BH19",11581.639783311,11646.6423608901,11712.0097689399,11777.7440550908
"154","BH2 ",8391.83676232788,8438.93639850901,8486.30038393706,8533.93020228642
"155","BH20",20065.992900598,20178.6143673875,20291.8679282301,20405.7571307877
"156","BH21",40798.7069244343,41027.6918662563,41257.9619984075,41489.5245340878
"157","BH22",26941.3659316389,27092.5758001743,27244.6343422478,27397.5463210852
"158","BH23",53114.4438720952,53412.5515514019,53712.3323761279,54013.7957368921
"159","BH24",23727.4282093621,23860.5996791875,23994.5185810659,24129.1891099998
"160","BH25",25861.3380487461,26006.4862025711,26152.4490082336,26299.2310380108
"161","BH3 ",5772.21605940827,5804.61293318654,5837.19163616521,5869.95318887047
"162","BH31",13434.9837201558,13510.388290483,13586.2160730257,13662.4694430853
"163","BH4 ",9434.6569807262,9487.60950159515,9540.85922134182,9594.40780801093
"164","BH5 ",11309.118781203,11372.5918199679,11436.4211045843,11500.6086345013
"165","BH6 ",22323.5930841122,22448.8854536251,22574.8810333156,22701.5837699888
"166","BH7 ",11886.3403871439,11953.0531132866,12020.1402682008,12087.6039533883
"167","BH8 ",28172.2356976172,28330.3538890629,28489.3595273813,28649.2575934157
"168","BH9 ",31796.4633418868,31974.9227063459,32154.3836836077,32334.851895278
"169","BL0 ",17852.6396694556,17952.838571927,18053.5998461396,18154.9266484351
"170","BL1 ",64157.0753265137,64517.160370099,64879.2664104015,65243.4047903741
"171","BL2 ",45788.5564169054,46045.5471579761,46303.9802734339,46563.8638586828
"172","BL3 ",64638.7637398336,65001.5522856036,65366.3770016425,65733.2493160655
"173","BL4 ",33637.7399280848,33826.5335566359,34016.3867996039,34207.3056041319
"174","BL5 ",27191.7634575609,27344.378695708,27497.8504951058,27652.1836632504
"175","BL6 ",29593.1662362834,29759.259476971,29926.2849249251,30094.2478122091
"176","BL7 ",15042.9581938481,15127.3876075849,15212.2908859574,15297.6706885563
"177","BL8 ",35997.9125920972,36199.9528169475,36403.1270034506,36607.4415160272
"178","BL9 ",48492.6485743529,48764.8161784184,49038.5113378326,49313.7426260822
"179","BN1 ",85250.8042572015,85729.2789914441,86210.4391909244,86694.2999279607
"180","BN10",18683.2756389802,18788.136530605,18893.5859596365,18999.6272292726
"181","BN11",33464.7745688133,33652.597419962,33841.4744369871,34031.4115364515
"182","BN12",20239.9638724234,20353.56176067,20467.7972231877,20582.6738383965
"183","BN13",27690.5472842972,27845.9619735583,28002.2489361403,28159.4130677243
"184","BN14",30908.5074567897,31081.9831209794,31256.4324266854,31431.8608385231
"185","BN15",27524.6212129031,27679.1046331444,27834.4550999091,27990.6774795425
"186","BN16",28493.0261023125,28652.9447471964,28813.760944095,28975.4797305672
"187","BN17",28450.7903750486,28610.4719696365,28771.0497857816,28932.5288535755
"188","BN18",13543.5898759775,13619.6040042084,13696.0447658316,13772.9145553497
"189","BN2 ",93263.5250867076,93786.9716485226,94313.3560823816,94842.6948772499
"190","BN20",21068.5886168402,21186.8372061309,21305.749472003,21425.3291393772
"191","BN21",25919.6635768725,26065.1390858682,26211.4310839997,26358.5441538565
"192","BN22",32426.9824131845,32608.9805999187,32792.0002612863,32976.0471303688
"193","BN23",28460.8465005876,28620.5845357222,28781.2191091895,28942.7552528592
"194","BN24",9343.14623832095,9395.58515021536,9448.31837832944,9501.34757452884
"195","BN25",23703.2935080684,23836.3295205819,23970.1122048868,24104.6457517188
"196","BN26",11490.1290409057,11554.6180095104,11619.4689259275,11684.6838216087
"197","BN27",26992.652171888,27144.1498872114,27296.4978916283,27449.7009574323
"198","BN3 ",79959.2709985592,80408.0467171536,80859.3412136594,81313.1686248533
"199","BN41",21032.3865648997,21150.4319682224,21269.1399077344,21388.5141019557
"200","BN42",10047.0750260537,10103.4647762137,10160.1710168862,10217.1955243911
"201","BN43",22618.2375624061,22745.1836399358,22872.8422091686,23001.2172690026
"202","BN44",10181.8271082768,10238.973161762,10296.4399505528,10354.2292747933
"203","BN45",672.754798561696,676.530671132718,680.327735992078,684.146112082639
"204","BN5 ",7145.88280804097,7185.98946049191,7226.32121369164,7266.87933103024
"205","BN6 ",17497.6584379275,17595.8649891021,17694.6227298388,17793.9347537188
"206","BN7 ",21308.9300172232,21428.5275355789,21548.7963014531,21669.7400822588
"207","BN8 ",16401.5407541723,16493.5952857618,16586.1664783719,16679.2572317905
"208","BN9 ",13552.6403889626,13628.7053136856,13705.1971568987,13782.1183147051
"209","BR1 ",56647.1607739595,56965.0960173051,57284.8156893419,57606.3298052722
"210","BR2 ",45091.66691705,45344.7463282377,45599.2461612628,45855.1743883191
"211","BR3 ",47589.6085009472,47856.7077439234,48125.3060957984,48395.4119704018
"212","BR4 ",19092.5599484191,19199.7179702926,19307.4774223402,19415.841680121
"213","BR5 ",45968.5610640542,46226.56209091,46486.0111624363,46746.9164058618
"214","BR6 ",47090.8246742109,47355.1244660731,47620.9076547639,47888.1825659279
"215","BR7 ",17397.0971825371,17494.7393282452,17592.9294957593,17691.6707608814
"216","BR8 ",22095.3190343761,22219.3302034799,22344.0373919551,22469.4445062477
"217","BS1 ",12058.3001338614,12125.9779933519,12194.0356984768,12262.4753811404
"218","BS10",27759.9345505166,27915.7386795496,28072.4172676552,28229.9752227821
"219","BS11",17451.4002604479,17549.3471851079,17647.8438421622,17746.8933170136
"220","BS13",29751.0474072463,29918.0267645164,30085.9433024299,30254.8022809639
"221","BS14",28313.0214551637,28471.9298142626,28631.7300550926,28792.4271833882
"222","BS15",47592.6253386089,47859.7415137491,48128.3568928208,48398.4798901869
"223","BS16",76334.0377417357,76762.4666432621,77193.3001250922,77626.5516830627
"224","BS2 ",15686.5502283466,15774.5918370691,15863.1275840664,15952.1602427161
"225","BS20",30171.3934547781,30340.7320268982,30511.0210208824,30682.2657710245
"226","BS21",23413.677092544,23545.087617314,23677.2356907378,23810.1254523469
"227","BS22",37652.1452432691,37863.4699380437,38075.9807040589,38289.6841982035
"228","BS23",34186.8043825163,34378.6796649146,34571.6318576782,34765.6670050245
"229","BS24",18946.746128103,19053.0857620501,19160.0222329249,19267.5588905067
"230","BS25",6266.97743592898,6302.15118460254,6337.52234783652,6373.0920336308
"231","BS26",5155.77556386519,5184.7126321337,5213.81211125768,5243.07491277681
"232","BS27",7120.74249419338,7160.70804527769,7200.89790517176,7241.31333282087
"233","BS28",3336.62245385307,3355.34942723222,3374.18150675892,3393.11928234708
"234","BS29",2935.38304484543,2951.85804041316,2968.42550278158,2985.08595092559
"235","BS3 ",36967.3230940605,37174.8041876081,37383.4497799773,37593.2664069804
"236","BS30",30530.3971365218,30701.7506361574,30874.0658665463,31047.3482254543
"237","BS31",20112.2510780776,20225.1321713817,20338.6468159067,20452.7985674929
"238","BS32",24896.9556095523,25036.6911149534,25177.2108934109,25318.5193466995
"239","BS34",29957.1979807966,30125.334369273,30294.414432293,30464.4434662807
"240","BS35",21761.45566648,21883.593009435,22006.415854811,22129.9280500273
"241","BS36",15529.6746699376,15616.8358061324,15704.4861389023,15792.6284138897
"242","BS37",38274.6194141356,38489.4377787479,38705.4618230112,38922.6983138674
"243","BS39",15549.7869210157,15637.0609383038,15724.8247857182,15813.0812124572
"244","BS4 ",48228.1724726762,48498.8556903647,48771.0581322034,49044.7883249197
"245","BS40",12857.762114215,12929.9269971643,13002.4969094091,13075.4741241982
"246","BS41",6117.1411653973,6151.47394992574,6185.99942905801,6220.71868430297
"247","BS48",23539.378661782,23671.4946933851,23804.3522333372,23937.9554433937
"248","BS49",12018.0756317053,12085.5277290091,12153.358404845,12221.5697840054
"249","BS5 ",52636.7779089908,52932.2046623316,53229.2895142502,53528.0417709141
"250","BS6 ",33870.0364280366,34060.1338332153,34251.2981703276,34443.5354275865
"251","BS7 ",41162.7386689475,41393.7667585583,41626.0915057754,41859.7201881594
"252","BS8 ",26248.4988819991,26395.8199968702,26543.9679594398,26692.947410435
"253","BS9 ",31126.7253809868,31301.4258050389,31477.106744638,31653.7737029804
"254","CA1 ",24396.1605577081,24533.085323886,24670.7785876948,24809.2446623689
"255","CA10",13699.4598218326,13776.3487785366,13853.6692786548,13931.4237442478
"256","CA11",22484.4910927369,22610.6865109962,22737.5902078429,22865.2061585287
"257","CA12",8071.04635763254,8116.34554037547,8161.89896722335,8207.70806513491
"258","CA13",15090.2219838816,15174.9166681877,15260.0867059748,15345.7347651899
"259","CA14",35999.923817205,36201.9753301647,36405.1608681322,36609.486795884
"260","CA15",16309.0243992131,16400.5596777734,16492.6087030187,16585.17435838
"261","CA16",6209.65752035646,6244.5095579141,6279.55720441119,6314.80155771344
"262","CA17",4900.34997517361,4927.85345355715,4955.51129669566,4983.32437096965
"263","CA18",329.840917680473,331.69216761066,333.553807780869,335.425896506884
"264","CA19",1074.99982012325,1081.03331456035,1087.10067231021,1093.2020834325
"265","CA2 ",39656.3310631995,39878.9043589218,40102.726859264,40327.8055754542
"266","CA20",3373.83011834752,3392.76592174928,3411.80800336834,3430.95695969694
"267","CA21",1022.70796732025,1028.44797091476,1034.22019058885,1040.02480715702
"268","CA22",8936.87876654378,8987.03748035345,9037.47771264813,9088.20104346548
"269","CA23",1431.99227675913,1440.02941060238,1448.11165329256,1456.2392580055
"270","CA24",1273.10549324231,1280.25086644846,1287.43634344689,1294.6621493223
"271","CA25",6217.70242078769,6252.59961078265,6287.69266313755,6322.98267714044
"272","CA26",3889.70935850021,3911.54056194522,3933.49429419635,3955.57124295313
"273","CA27",1653.22703861798,1662.50586448757,1671.83676826753,1681.22004224792
"274","CA28",28752.4741412197,28913.8489522073,29076.1294880202,29239.3208320879
"275","CA3 ",14093.6599429629,14172.7613690957,14252.3067562466,14332.2985961707
"276","CA4 ",9733.32390923566,9787.95271434017,9842.88812655803,9898.13186673821
"277","CA5 ",7153.9277084722,7194.07951336047,7234.456672418,7275.06045045724
"278","CA6 ",9145.04056520189,9196.36759832726,9247.98270719276,9299.88750863904
"279","CA7 ",22659.4676771161,22786.6451608872,22914.5364351413,23043.1455060659
"280","CA8 ",10371.8878809646,10430.1006607815,10488.6401629631,10547.5082212561
"281","CA9 ",2099.7190125513,2111.50379869225,2123.35472758066,2135.27217044626
"282","CB1 ",49514.3509291193,49792.2528927246,50071.7145960806,50352.7447933108
"283","CB10",13572.7526400407,13648.9304458569,13725.5358037146,13802.5711132726
"284","CB11",18148.2897603033,18250.1480148463,18352.5779543334,18455.5827873773
"285","CB2 ",18642.0455242701,18746.6750096537,18851.8917336639,18957.6989922092
"286","CB21",15713.701767302,15801.8957655005,15890.5847572679,15979.7715207822
"287","CB22",24159.8416075407,24295.4400208723,24431.7994876079,24568.9242792009
"288","CB23",31058.3437273213,31232.6603556562,31407.9553454639,31584.234187851
"289","CB24",33225.4387809842,33411.9183471225,33599.4445398778,33788.0232334983
"290","CB25",18366.5076845005,18469.5906989058,18573.252272286,18677.4956518345
"291","CB3 ",16361.3162520161,16453.145021419,16545.4891847401,16638.3516346555
"292","CB4 ",42133.1547834648,42369.6293858275,42607.4312146429,42846.5677190409
"293","CB5 ",11097.9401448832,11160.2279321684,11222.8653130173,11285.8542495426
"294","CB6 ",38590.3817560614,38806.9723538386,39024.7785780209,39243.8072513771
"295","CB7 ",26765.3837347057,26915.6058936748,27066.6711826086,27218.5843336196
"296","CB8 ",33427.5669043189,33615.1809254449,33803.8479403777,33993.5738591016
"297","CB9 ",33055.4902593744,33241.0159802744,33427.5829742834,33615.197085603
"298","CF10",14698.0330878591,14780.5265908457,14863.4830930646,14946.9051931238
"299","CF11",36260.3774686661,36463.890791784,36668.5463443981,36874.350537333
"300","CF14",78292.9709967405,78732.3945167546,79174.2843249615,79618.6542635365
"301","CF15",17923.0325482289,18023.6265345268,18124.7851099952,18226.5114434213
"302","CF23",47290.9415724378,47556.3645311783,47823.2771905822,48091.6879116745
"303","CF24",56173.5172610708,56488.7941546691,56805.8405568273,57124.6663990078
"304","CF3 ",42459.9788634835,42698.2877836125,42937.9342254014,43178.9256957627
"305","CF31",45134.9082568679,45388.2303624062,45642.974251917,45899.1479052393
"306","CF32",30072.8434244955,30241.6288792585,30411.3616514845,30582.0470580438
"307","CF33",14545.1799796657,14626.8155863432,14708.9093772637,14791.4639240109
"308","CF34",20727.6859610668,20844.021215826,20961.0094084734,21078.6542036582
"309","CF35",16242.6539706555,16333.8167416079,16425.4911685262,16517.6801231073
"310","CF36",16094.8289252316,16185.1620201482,16276.0021144293,16367.3520536362
"311","CF37",38538.0899032584,38754.387010193,38971.8980962996,39190.6299751016
"312","CF38",23407.6434172206,23539.0200776626,23671.134096693,23803.9896127766
"313","CF39",29088.3487342236,29251.6086594693,29415.7848898458,29580.882568165
"314","CF40",20703.5512597731,20819.7510572203,20936.6030322943,21054.1108453772
"315","CF41",10815.3630172362,10876.0648251605,10937.1073252538,10998.4924296693
"316","CF42",13496.326085944,13572.0749436057,13648.2489458142,13724.8504787161
"317","CF43",11950.6995905937,12017.773536235,12085.2239380117,12153.0529088043
"318","CF44",39431.073851125,39652.3828786024,39874.9340149258,40098.7342314983
"319","CF45",19662.7422664826,19773.1004673513,19884.0780595712,19995.6785195095
"320","CF46",14360.1472697474,14440.7443703665,14521.7938265574,14603.29817719
"321","CF47",22008.8363547403,22132.362135143,22256.5812106467,22381.4974724075
"322","CF48",27436.1273081596,27590.1140515903,27744.9650539191,27900.6851658455
"323","CF5 ",66394.5632589498,66767.2063241652,67141.9408686711,67518.7786310076
"324","CF61",10039.0301256224,10095.3747233452,10152.0355581598,10209.0144049641
"325","CF62",41678.6179091002,41912.5413987543,42147.7777966034,42384.3344714156
"326","CF63",22047.0496317887,22170.7898862686,22295.2246395969,22420.3577896857
"327","CF64",36779.2735464805,36985.6992018057,37193.2834322485,37402.0327403743
"328","CF71",9099.78800027621,9150.86105094164,9202.22075185697,9253.86871186218
"329","CF72",25700.4400401215,25844.6851452001,25989.7398337063,26135.6086494708
"330","CF81",16523.2198731947,16615.9573353986,16709.2152916081,16802.9966631238
"331","CF82",20346.5588031372,20460.7549611783,20575.592051312,20691.0736708042
"332","CF83",55552.0487027582,55863.8375705734,56177.3763702158,56492.6749232722
"333","CH1 ",30731.5196473026,30904.0019578712,31077.4523347054,31251.8762111292
"334","CH2 ",34513.6284625351,34707.3380626995,34902.1348684366,35098.0249817462
"335","CH3 ",32189.6578504632,32370.3240402964,32552.0042288586,32734.7041072724
"336","CH4 ",32478.2686534336,32660.5546869557,32843.8638106669,33028.201766716
"337","CH41",18771.7695437237,18877.1271121591,18983.0760056265,19089.6195429695
"338","CH42",31230.3034740389,31405.5852357215,31581.8507757399,31759.105615603
"339","CH43",39134.4181477234,39354.0621790745,39574.9389743912,39797.0554526277
