"","postCode","town","district","county","shortPostCode","population2019","population2020","population2021","population2022"
"146","LE14 3NQ","MELTON MOWBRAY","MELTON","LEICESTERSHIRE","LE14",17418.2150461691,17515.9757170251,17614.285074916,17713.1461993773
"147","LE12 8SS","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"148","LE12 9NX","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"149","LE14 4QG","MELTON MOWBRAY","MELTON","LEICESTERSHIRE","LE14",17418.2150461691,17515.9757170251,17614.285074916,17713.1461993773
"150","NG13 0EG","NOTTINGHAM","MELTON","LEICESTERSHIRE","NG13",21504.0188526806,21624.7113176413,21746.0811755674,21868.1322283634
"151","LE17 5EG","LUTTERWORTH","HARBOROUGH","LEICESTERSHIRE","LE17",20763.8880130073,20880.4264537345,20997.618972742,21115.4692410797
"152","LE67 8QJ","COALVILLE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","LE67",59234.6018751542,59567.0592711534,59901.3826022083,60237.5823409802
"153","LE12 9WJ","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"154","LE12 9WJ","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"155","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"156","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"157","LE17 5QE","LUTTERWORTH","HARBOROUGH","LEICESTERSHIRE","LE17",20763.8880130073,20880.4264537345,20997.618972742,21115.4692410797
"158","LE12 8DT","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"159","LE17 6HY","LUTTERWORTH","HARBOROUGH","LEICESTERSHIRE","LE17",20763.8880130073,20880.4264537345,20997.618972742,21115.4692410797
"160","LE17 5EN","LUTTERWORTH","HARBOROUGH","LEICESTERSHIRE","LE17",20763.8880130073,20880.4264537345,20997.618972742,21115.4692410797
"161","LE17 6EF","LUTTERWORTH","HARBOROUGH","LEICESTERSHIRE","LE17",20763.8880130073,20880.4264537345,20997.618972742,21115.4692410797
"162","LE12 7AL","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"163","CV13 0DJ","NUNEATON","HINCKLEY AND BOSWORTH","LEICESTERSHIRE","CV13",10774.1329025262,10834.6033042092,10895.4130992812,10956.564192606
"164","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"165","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"166","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"167","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"168","LE14 2UN","MELTON MOWBRAY","MELTON","LEICESTERSHIRE","LE14",17418.2150461691,17515.9757170251,17614.285074916,17713.1461993773
"169","LE67 8FZ","COALVILLE","NORTH WEST LEICESTERSHIRE","LEICESTERSHIRE","LE67",59234.6018751542,59567.0592711534,59901.3826022083,60237.5823409802
"170","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"171","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"172","LE12 8XH","LOUGHBOROUGH","CHARNWOOD","LEICESTERSHIRE","LE12",62470.6630736169,62821.2830375287,63173.8708748877,63528.4376304898
"173","LE17 5BU","LUTTERWORTH","HARBOROUGH","LEICESTERSHIRE","LE17",20763.8880130073,20880.4264537345,20997.618972742,21115.4692410797
